"id","code","lcc","name","logo","created_at","updated_at","deleted_at"
1,AUTOSTRAD,None,Autostradale,https://images.kiwi.com/airlines/64/AUTOSTRAD.png,,,
2,EASTMIDLAN,None,East Midlands Trains,https://images.kiwi.com/airlines/64/EASTMIDLAN.png,,,
3,FLIBCO,"0",Flibco,https://images.kiwi.com/airlines/64/FLIBCO.png,,,
4,SR,"0",Sundair,https://images.kiwi.com/airlines/64/SR.png,,,
5,LONGTEST,"0",Long iata code test,https://images.kiwi.com/airlines/64/LONGTEST.png,,,
6,SAGALES,None,Sagales,https://images.kiwi.com/airlines/64/SAGALES.png,,,
7,EUROLINES,"0",Eurolines,https://images.kiwi.com/airlines/64/EUROLINES.png,,,
8,ISILINES,"0",Isilines,https://images.kiwi.com/airlines/64/ISILINES.png,,,
9,NOMAGO,None,Nomago,https://images.kiwi.com/airlines/64/NOMAGO.png,,,
10,WR,"1",WestJet Encore,https://images.kiwi.com/airlines/64/WR.png,,,
11,CY,"0",Cyprus Airways,https://images.kiwi.com/airlines/64/CY.png,,,
12,FLIXTRAIN,"0",Flixtrain,https://images.kiwi.com/airlines/64/FLIXTRAIN.png,,,
13,P2,"1",Air Kenya,https://images.kiwi.com/airlines/64/P2.png,,,
14,JY,"0",interCaribbean Airways,https://images.kiwi.com/airlines/64/JY.png,,,
15,UU,"0",Air Austral,https://images.kiwi.com/airlines/64/UU.png,,,
16,SZS,None,Scandinavian Airlines Ireland,https://images.kiwi.com/airlines/64/SZS.png,,,
17,GREYHOUND,"0",Greyhound,https://images.kiwi.com/airlines/64/GREYHOUND.png,,,
18,QV,"0",Lao Airlines,https://images.kiwi.com/airlines/64/QV.png,,,
19,"2N","1",NextJet,https://images.kiwi.com/airlines/64/2N.png,,,
20,AH,"0",Air Algerie,https://images.kiwi.com/airlines/64/AH.png,,,
21,TQ,"0",Tandem Aero,https://images.kiwi.com/airlines/64/TQ.png,,,
22,RM,"0",Armenia Aircompany,https://images.kiwi.com/airlines/64/RM.png,,,
23,NATEXPRESS,"0",National Express,https://images.kiwi.com/airlines/64/NATEXPRESS.png,,,
24,A0,"1",Avianca Argentina,https://images.kiwi.com/airlines/64/A0.png,,,
25,JG,"1",JetGo,https://images.kiwi.com/airlines/64/JG.png,,,
26,M8,"1",SkyJet Airlines,https://images.kiwi.com/airlines/64/M8.png,,,
27,M0,"1",Aero Mongolia,https://images.kiwi.com/airlines/64/M0.png,,,
28,"5T","0",Canadian North,https://images.kiwi.com/airlines/64/5T.png,,,
29,"6D","0",Pelita,https://images.kiwi.com/airlines/64/6D.png,,,
30,GU,"1",Avianca Guatemala,https://images.kiwi.com/airlines/64/GU.png,,,
31,XW,"1",NokScoot,https://images.kiwi.com/airlines/64/XW.png,,,
32,UA,"0",United Airlines,https://images.kiwi.com/airlines/64/UA.png,,,
33,X4,"0",Alaska Seaplanes X4,https://images.kiwi.com/airlines/64/X4.png,,,
34,ND,"0",FMI Air,https://images.kiwi.com/airlines/64/ND.png,,,
35,V0,"1",Conviasa,https://images.kiwi.com/airlines/64/V0.png,,,
36,XX,"0",Greenfly,https://images.kiwi.com/airlines/64/XX.png,,,
37,D7,"0",AirAsia X,https://images.kiwi.com/airlines/64/D7.png,,,
38,XJ,"0",Thai AirAsia X,https://images.kiwi.com/airlines/64/XJ.png,,,
39,"2P","1",PAL Express,https://images.kiwi.com/airlines/64/2P.png,,,
40,BUTAAIR,"1",Buta Airways,https://images.kiwi.com/airlines/64/BUTAAIR.png,,,
41,CU,"0",Cubana de Aviación,https://images.kiwi.com/airlines/64/CU.png,,,
42,VV,"0",Viva Air,https://images.kiwi.com/airlines/64/VV.png,,,
43,PQ,"0",SkyUp Airlines,https://images.kiwi.com/airlines/64/PQ.png,,,
44,W3,"0",Arik Air,https://images.kiwi.com/airlines/64/W3.png,,,
45,PE,"0",People's Viennaline PE,https://images.kiwi.com/airlines/64/PE.png,,,
46,YD,"0",Gomelavia,https://images.kiwi.com/airlines/64/YD.png,,,
47,GJ,"0",Loong Air,https://images.kiwi.com/airlines/64/GJ.png,,,
48,FLIXBUS,"0",Flixbus,https://images.kiwi.com/airlines/64/FLIXBUS.png,,,
49,CHIHUAHUEN,None,Transportes Chihuahuenses,https://images.kiwi.com/airlines/64/CHIHUAHUEN.png,,,
50,SNCB,"0",SNCB,https://images.kiwi.com/airlines/64/SNCB.png,,,
51,"99","0",Ciao Air,https://images.kiwi.com/airlines/64/99.png,,,
52,S9,"0",Starbow Airlines,https://images.kiwi.com/airlines/64/S9.png,,,
53,D4,"0",Aerodart,https://images.kiwi.com/airlines/64/D4.png,,,
54,"8G","0",Mid Africa Aviation,https://images.kiwi.com/airlines/64/8G.png,,,
55,"8B","0",TransNusa,https://images.kiwi.com/airlines/64/8B.png,,,
56,AD,"1",Azul,https://images.kiwi.com/airlines/64/AD.png,,,
57,VT,"0",Air Tahiti,https://images.kiwi.com/airlines/64/VT.png,,,
58,KS,"0",Peninsula Airways,https://images.kiwi.com/airlines/64/KS.png,,,
59,KB,"0",Druk Air,https://images.kiwi.com/airlines/64/KB.png,,,
60,SX,"0",SkyWork Airlines,https://images.kiwi.com/airlines/64/SX.png,,,
61,OV,"1",SalamAir,https://images.kiwi.com/airlines/64/OV.png,,,
62,JI,"0",Meraj Air,https://images.kiwi.com/airlines/64/JI.png,,,
63,"3I","0",Air Comet Chile,https://images.kiwi.com/airlines/64/3I.png,,,
64,QA,"0",Click (Mexicana),https://images.kiwi.com/airlines/64/QA.png,,,
65,"9J","0",Dana Airlines Limited,https://images.kiwi.com/airlines/64/9J.png,,,
66,A2,"0",Astra Airlines,https://images.kiwi.com/airlines/64/A2.png,,,
67,SF,"0",Tassili Airlines,https://images.kiwi.com/airlines/64/SF.png,,,
68,ICBUS,"0",IC Bus,https://images.kiwi.com/airlines/64/ICBUS.png,,,
69,DEINBUS,"0",DeinBus,https://images.kiwi.com/airlines/64/DEINBUS.png,,,
70,ORESUNDST,"0",Oresundstag,https://images.kiwi.com/airlines/64/ORESUNDST.png,,,
71,LEBUSDIR,"0",Le Bus Direct,https://images.kiwi.com/airlines/64/LEBUSDIR.png,,,
72,XU,"1",African Express,https://images.kiwi.com/airlines/64/XU.png,,,
73,CD,"0",Corendon Dutch Airlines B.V.,https://images.kiwi.com/airlines/64/CD.png,,,
74,J5,"0",Alaska Seaplane Service,https://images.kiwi.com/airlines/64/J5.png,,,
75,LQ,"1",Lanmei Airlines,https://images.kiwi.com/airlines/64/LQ.png,,,
76,SV,"0",Saudi Arabian Airlines,https://images.kiwi.com/airlines/64/SV.png,,,
77,LH,"0",Lufthansa,https://images.kiwi.com/airlines/64/LH.png,,,
78,LA,"0",LATAM Airlines,https://images.kiwi.com/airlines/64/LA.png,,,
79,QF,"0",Qantas,https://images.kiwi.com/airlines/64/QF.png,,,
80,"0B","1",Blue Air,https://images.kiwi.com/airlines/64/0B.png,,,
81,MV,"0",Air Mediterranean,https://images.kiwi.com/airlines/64/MV.png,,,
82,DI,"0",Norwegian Air UK,https://images.kiwi.com/airlines/64/DI.png,,,
83,RT,"0",JSC UVT Aero,https://images.kiwi.com/airlines/64/RT.png,,,
84,F3,"0",Flyadeal,https://images.kiwi.com/airlines/64/F3.png,,,
85,TRANSFERO,"0",Transfero,https://images.kiwi.com/airlines/64/TRANSFERO.png,,,
86,Y2,"0",AirCentury,https://images.kiwi.com/airlines/64/Y2.png,,,
87,"9P","1",Air Arabia Jordan,https://images.kiwi.com/airlines/64/9P.png,,,
88,"4C","0",LATAM Colombia,https://images.kiwi.com/airlines/64/4C.png,,,
89,A6,"0",Air Travel,https://images.kiwi.com/airlines/64/A6.png,,,
90,B4,"0",ZanAir,https://images.kiwi.com/airlines/64/B4.png,,,
91,T0,"0",Avianca Peru,https://images.kiwi.com/airlines/64/T0.png,,,
92,L7,"0",Lugansk Airlines,https://images.kiwi.com/airlines/64/L7.png,,,
93,YW,"0",Air Nostrum,https://images.kiwi.com/airlines/64/YW.png,,,
94,Y7,"1",NordStar Airlines,https://images.kiwi.com/airlines/64/Y7.png,,,
95,NT,"1",Binter Canarias,https://images.kiwi.com/airlines/64/NT.png,,,
96,"3U","0",Sichuan Airlines,https://images.kiwi.com/airlines/64/3U.png,,,
97,"11","0",TUIfly (X3),https://images.kiwi.com/airlines/64/11.png,,,
98,"00","1",Anadolujet,https://images.kiwi.com/airlines/64/00.png,,,
99,REGIOJETT,"0",Regiojet Train,https://images.kiwi.com/airlines/64/REGIOJETT.png,,,
100,LT,"0",LongJiang Airlines,https://images.kiwi.com/airlines/64/LT.png,,,
101,XM,"0",Alitalia Express,https://images.kiwi.com/airlines/64/XM.png,,,
102,"4D","0",Air Sinai,https://images.kiwi.com/airlines/64/4D.png,,,
103,FK,"0",Africa West,https://images.kiwi.com/airlines/64/FK.png,,,
104,"2U","0",Air Guinee Express,https://images.kiwi.com/airlines/64/2U.png,,,
105,A7,"0",Calafia Airlines,https://images.kiwi.com/airlines/64/A7.png,,,
106,GG,"0",Air Guyane,https://images.kiwi.com/airlines/64/GG.png,,,
107,FL,"0",AirTran Airways,https://images.kiwi.com/airlines/64/FL.png,,,
108,TE,"0",FlyLal,https://images.kiwi.com/airlines/64/TE.png,,,
109,SE,"1",XL Airways France,https://images.kiwi.com/airlines/64/SE.png,,,
110,WF,"0",Widerøe,https://images.kiwi.com/airlines/64/WF.png,,,
111,S1,"0",Serbian Airlines,https://images.kiwi.com/airlines/64/S1.png,,,
112,II,"0",LSM International ,https://images.kiwi.com/airlines/64/II.png,,,
113,HN,"0",Hankook Airline,https://images.kiwi.com/airlines/64/HN.png,,,
114,NP,"0",Nile Air,https://images.kiwi.com/airlines/64/NP.png,,,
115,M1,"0",Maryland Air,https://images.kiwi.com/airlines/64/M1.png,,,
