"id","station_code","station_location","created_at","updated_at","deleted_at"
1,ABT,"Abbotsford - Bus Station, BC","2024-01-14 09:56:05","2024-01-14 09:56:05",
2,ABB,"Abbotsford-Colby - Bus Stop, WI","2024-01-14 09:56:05","2024-01-14 09:56:05",
3,ABE,"Aberdeen, MD","2024-01-14 09:56:05","2024-01-14 09:56:05",
4,ABN,"Absecon - NJ Transit Station, NJ","2024-01-14 09:56:05","2024-01-14 09:56:05",
5,ADE,"Adelanto, CA","2024-01-14 09:56:05","2024-01-14 09:56:05",
6,AMC,"Alamosa - Bus Stop, CO","2024-01-14 09:56:05","2024-01-14 09:56:05",
7,ALA,"Alanson - Bus Stop, MI","2024-01-14 09:56:05","2024-01-14 09:56:05",
8,ALY,"Albany, OR","2024-01-14 09:56:05","2024-01-14 09:56:05",
9,ALB,"Albany-Rensselaer, NY","2024-01-14 09:56:05","2024-01-14 09:56:05",
10,ALI,"Albion, MI","2024-01-14 09:56:05","2024-01-14 09:56:05",
11,ABQ,"Albuquerque, NM","2024-01-14 09:56:05","2024-01-14 09:56:05",
12,AST,"Aldershot, ON","2024-01-14 09:56:05","2024-01-14 09:56:05",
13,ALD,"Alderson, WV","2024-01-14 09:56:05","2024-01-14 09:56:05",
14,ALX,"Alexandria, VA","2024-01-14 09:56:05","2024-01-14 09:56:05",
15,ALC,"Alliance, OH","2024-01-14 09:56:05","2024-01-14 09:56:05",
16,ALM,"Alpena - Bus Stop, MI","2024-01-14 09:56:05","2024-01-14 09:56:05",
17,ALP,"Alpine, TX","2024-01-14 09:56:05","2024-01-14 09:56:05",
18,ALN,"Alton, IL","2024-01-14 09:56:05","2024-01-14 09:56:05",
19,ALT,"Altoona, PA","2024-01-14 09:56:05","2024-01-14 09:56:05",
20,AMS,"Amsterdam, NY","2024-01-14 09:56:05","2024-01-14 09:56:05",
21,ANA,"Anaheim, CA","2024-01-14 09:56:05","2024-01-14 09:56:05",
22,ARB,"Ann Arbor, MI","2024-01-14 09:56:05","2024-01-14 09:56:05",
23,ATN,"Anniston, AL","2024-01-14 09:56:05","2024-01-14 09:56:05",
24,ACA,"Antioch-Pittsburg, CA","2024-01-14 09:56:05","2024-01-14 09:56:05",
25,APP,"Appleton, WI","2024-01-14 09:56:05","2024-01-14 09:56:05",
26,ARC,"Arcata, CA","2024-01-14 09:56:05","2024-01-14 09:56:05",
