"id","city","state_code","state_name","created_at","updated_at","deleted_at"
1,New York,NY,New York,,,
2,Los Angeles,CA,California,,,
3,Chicago,IL,Illinois,,,
4,Miami,FL,Florida,,,
5,Houston,TX,Texas,,,
6,Dallas,TX,Texas,,,
7,Philadelphia,PA,Pennsylvania,,,
8,Atlanta,GA,Georgia,,,
9,Washington,DC,District of Columbia,,,
10,Boston,MA,Massachusetts,,,
11,Phoenix,AZ,Arizona,,,
12,Detroit,MI,Michigan,,,
13,Seattle,WA,Washington,,,
14,San Francisco,CA,California,,,
15,San Diego,CA,California,,,
16,Minneapolis,MN,Minnesota,,,
17,Tampa,FL,Florida,,,
18,Brooklyn,NY,New York,,,
19,Denver,CO,Colorado,,,
20,Queens,NY,New York,,,
21,Riverside,CA,California,,,
22,Las Vegas,NV,Nevada,,,
23,Baltimore,MD,Maryland,,,
24,St. Louis,MO,Missouri,,,
25,Portland,OR,Oregon,,,
26,San Antonio,TX,Texas,,,
27,Sacramento,CA,California,,,
28,Austin,TX,Texas,,,
29,Orlando,FL,Florida,,,
30,San Juan,PR,Puerto Rico,,,
31,San Jose,CA,California,,,
32,Pittsburgh,PA,Pennsylvania,,,
33,Indianapolis,IN,Indiana,,,
34,Manhattan,NY,New York,,,
35,Cincinnati,OH,Ohio,,,
36,Kansas City,MO,Missouri,,,
37,Cleveland,OH,Ohio,,,
38,Columbus,OH,Ohio,,,
39,Bronx,NY,New York,,,
40,Virginia Beach,VA,Virginia,,,
41,Charlotte,NC,North Carolina,,,
42,Milwaukee,WI,Wisconsin,,,
43,Providence,RI,Rhode Island,,,
44,Jacksonville,FL,Florida,,,
45,Nashville,TN,Tennessee,,,
46,Salt Lake City,UT,Utah,,,
47,Raleigh,NC,North Carolina,,,
48,Richmond,VA,Virginia,,,
49,Memphis,TN,Tennessee,,,
50,Oklahoma City,OK,Oklahoma,,,
51,Hartford,CT,Connecticut,,,
52,Louisville,KY,Kentucky,,,
53,Buffalo,NY,New York,,,
54,New Orleans,LA,Louisiana,,,
55,Fort Worth,TX,Texas,,,
